//コマンド,敵の番号,p1,p2,p3
//縦右
//
POP,1,-5,10,0
POP,1,-5,6,0
POP,1,-5,2,0
POP,1,-5,-2,0
POP,1,-5,-6,0
POP,1,-5,-10,0
//
//縦左
//
POP,2,-20,2,0
POP,2,-20,-2,0
POP,2,-20,-6,0
POP,2,-20,-10,0
//
ITEM,5,-10,5,0
//
ZERO
//
//斜め右上
//
POP,3,-15,9,0
POP,3,-12,6,0
POP,3,-9,3,0
POP,3,-6,0,0
//
ZERO
//
//横上
//
POP,4,-13,10,0
POP,4,-17,10,0
POP,4,-21,10,0
POP,4,-25,10,0
//
ZERO
//
//斜め右下
//
POP,5,-6,-1,0
POP,5,-9,-4,0
POP,5,-12,-7,0
POP,5,-15,-10,0
//
ZERO
//
//縦右
//
POP,6,-10,2,0
POP,6,-10,-2,0
POP,6,-10,-6,0
POP,6,-10,-10,0
//
ZERO
//
//斜め左下
//
POP,7,-16,-10,0
POP,7,-19,-7,0
POP,7,-22,-4,0
POP,7,-25,-1,0
//
ZERO
//
//横下
POP,8,-17,-10,0
POP,8,-21,-10,0
POP,8,-25,-10,0
POP,8,-5,-10,0
POP,8,-9,-10,0
POP,8,-13,-10,0
END
