//コマンド,敵の番号,p1,p2,p3
//縦右
//
POP,1,-5,10,0
POP,1,-5,6,0
POP,1,-5,2,0
//
//
POP,2,-5,-2,0
POP,2,-5,-6,0
POP,2,-5,-10,0
//
ITEM,1,-20,5,0
ZERO
//
//縦真ん中
//
POP,3,-15,10,0
POP,3,-15,6,0
POP,3,-15,2,0
//
ZERO
//
POP,4,-15,-2,0
POP,4,-15,-6,0
POP,4,-15,-10,0
//
ZERO
//
//斜め右下
//
POP,5,-6,-1,0
POP,5,-9,-4,0
POP,5,-12,-7,0
POP,5,-15,-10,0
//
ZERO
//
//横真ん中(重力オブジェが壊さないように順番変える)
//
POP,6,-17,0,0
POP,6,-21,0,0
POP,6,-25,0,0
//
ZERO
//
POP,7,-5,0,0
POP,7,-9,0,0
POP,7,-13,0,0
//
ZERO
//
//斜め左上
//
POP,8,-25,1,0
POP,8,-22,4,0
POP,8,-19,7,0
POP,8,-16,10,0
//
ZERO
//
//縦真ん中
//
POP,9,0,10,0
POP,9,0,6,0
POP,9,0,2,0
//
ZERO
//
POP,10,0,-2,0
POP,10,0,-6,0
POP,10,0,-10,0
END
